광물명,라틴명,어원,생성환경,등록일자
미라빌라이트(mirabilite),,"라틴어의 ""sal mirabile""인 기적의 소금(miracle salt)에서 유래",염호(sodium sulfate-chloride brine)의 침전물로 생성,2020-10-26
밀타승(密陀僧),Lithargyrum,"a = 3.972 A, c = 5.021 A, Z = 2; V = 79.29 A?ø",1917년 디오코리데스가 은으로부터 납을 분리하는 야금과정에서 얻은 물질의 그리스어,2020-10-22
방해석(calcite),,"라틴어 석회(lime)를 의미하는 ""clax""에서 유래","퇴적암, 화성암, 변성암에서 산출",2020-10-26
백반(白礬),,"a = 6.98 A, c = 17.32 A, Z = 4; V = 730.78 A?ø","""alum(알루미늄)을 의미하는 라틴어 alunit에서 유래",2020-10-22
백운모(muscovite),,"러시아 ""Muscovy"" 지역의 ""Muscovy glass""에서 유래",화강암과 거정질 화강암(pegmatite)에서 산출,2020-10-26
부석(pumice),,,매우 높은 함량의 물과 가스를 함유한 용암이 화산에서 분출될 때 생성되는 화산암,2020-10-26
산화납(litharge),,1917년 디오코리데스가 은으로부터 납을 분리하는 야금과정에서 얻은 물질의 그리스어,방연석과 함계 수반되는 2차광물,2020-10-26
석고(gypsum),Gypsum Fibrosum,기원전 300-325 BCE 그리스 철학자인 테오프라스토스에 의해 석고(plaster)를 의미하는 그리스어(gypsos)에서 유래,퇴적기원의 증발광상에서 생성,2020-10-26
석고(gypsum),,기원전 300-325 BCE 그리스 철학자인 테오프라스토스에 의해 석고(plaster)를 의미하는 그리스어(gypsos)에서 유래,퇴적기원의 증발광상에서 생성,2020-10-26
석고(石膏),Gypsum Fibrosum,"a = 5.679 A, b = 15.202 A, c = 6.522 A, Z = 4; V = 495.15 A?ø",기원전 300-325 BCE 그리스 철학자인 테오프라스토스에 의해 석고(plaster)를 의미하는 그리스어(gypsos)에서 유래,2020-10-22
석유황(石硫黃),Sulfur,"a = 10.468 A, b = 12.870 A, c = 24.49 A, Z = 128; V = 3,299.37 A?ø","산스크리트의 ""불의 근원""을 의미하는 ""sulvere""에서 유래된 라틴어 sulphurium이 어원",2020-10-22
석종유(石鐘乳),Stalactitum,"a = 4.989 A, c = 17.064 A, Z = 6; V = 367.85 A?ø","라틴어 석회(lime)를 의미하는 ""clax""에서 유래",2020-10-22
운모(雲母),Muscovitum,"a = 5.186 A, b = 8.952 A, c = 10.12 A, Z = 4; V = 459.89 A?ø","러시아 ""Muscovy"" 지역의 ""Muscovy glass""에서 유래",2020-10-22
은(silver),,"라틴어 ""argenrum""에서 유래",황화 광석 맥에서 산출,2020-10-26
은박(銀箔),Argentum,"a = 4.0862 A, Z = 4; V = 68.23 A?ø","라틴어 ""argenrum""에서 유래",2020-10-22
자석(磁石),Magenetitum,"a = 8.397 A, Z = 8; V = 592.07 A?ø","1548년 초에는 ""lodestone""으로 불리다가, 1845년 폰 하이딩거(Wilhelm Karl von Haidinge)에 의해 그리스 마그네시아(lodestone site) 지명에서 유래",2020-10-22
자석영(紫石英),Fluoritum,"a = 5.4626 A, Z = 4; V = 163.00 A?ø","불소(fluorine)를 함유하고 있는 화학조성으로 유래(라틴어, fluere = ""to flow"")",2020-10-22
자연동(自然銅),Pyritum,"a = 5.417 A, Z = 4; V = 158.96 A?ø","그리스어로 ""pyr""는 불(fire)에서 유래",2020-10-22
자철석(magnetite),,"1548년 초에는 ""lodestone""으로 불리다가, 1845년 폰 하이딩거(Wilhelm Karl von Haidinge)에 의해 그리스 마그네시아(lodestone site) 지명에서 유래",화성암과 변성암에서 주로 생성,2020-10-26
적석지(赤石脂),Halloysitum Rubrum,"a = 5.14 A, b = 8.9 A, c = 7.214 A, Z = 2; V = 325.29 A?ø",광물을 발견한 벨기에 지질학자인 도말리우스 할로이(Baron Omalius d'Halloy)의 이름에서 유래,2020-10-22
적철석(hematite),,"그리스 어인 ""haimatites(혈액)""에서 선명한 붉은색에서 유래","마그마 광상, 열수광상, 변성광상, 퇴적광상에서 생성",2020-10-26
종유석(stalactite),,"라틴어 석회(lime)를 의미하는 ""clax""에서 유래",지하수에 용융된 석회 성분이 고결되어 만들어진 고드름 모양의 암석,2020-10-26
주사(朱砂),Cinnabaris,"a = 4.415A, c = 9.496 A, Z = 3; V = 141.29 A?ø","라틴어에서 유래되었으나, 그 의미는 불확실함",2020-10-22
진사(cinnabar),,"라틴어에서 유래되었으나, 그 의미는 불확실함",저온 열수맥광상에서 생성,2020-10-26
한수석(寒水石),Glauberite,"a = 4.989 A, c = 17.064 A, Z = 6; V = 367.85 A?ø","라틴어 석회(lime)를 의미하는 ""clax""에서 유래",2020-10-22
할로이사이트(halloysite),,광물을 발견한 벨기에 지질학자인 도말리우스 할로이(Baron Omalius d'Halloy)의 이름에서 유래,알루미늄을 함유한 규산염광물인 장석이 지표풍화나 열수변질작용을 받아 생성,2020-10-26
해부석(海浮石),Pumex,,,2020-10-22
형석(Fluorite),,"불소(fluorine)를 함유하고 있는 화학조성으로 유래(라틴어, fluere = ""to flow"")",저온의 맥상광상에서 생성,2020-10-26
호박(amber),Saxifragae Herba,노란색-주황색-갈색에서 유래,신생대 제3기에 소나무과에 속하는 호박소나무의 나무진(수지)이 오랜 시간동안 땅속에 묻혀서 생성된 화석,2020-10-26
활석(talc),Talcum,"1546년 광산학자인 아그리콜라(Georgius Agricola)에 의해 순수하다는 아랍어인 ""talq""에서 유래",알루미늄을 함유하지 않은 마그네슘 규산염광물의 열수변질작용에 의해 생성,2020-10-26
황(sulfur),Talcum,"산스크리트의 ""불의 근원""을 의미하는 ""sulvere""에서 유래된 라틴어 sulphurium이 어원",화산 폭발이나 퇴적물 내 황산염에서 박테리아의 환원작용에 의해 생성,2020-10-26
황철석(pyrite),,"그리스어로 ""pyr""는 불(fire)에서 유래","퇴적광상, 화성광상, 변성광상, 열수광상에서 흔하게 산출",2020-10-26
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
